Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
STK3,"KRS1, MST2",ENSG00000104375,Serine/threonine kinase 3,8,98401403-98942827,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA007120, CAB025316",Uncertain,,Approved,Intermediate filaments<br>Rods & Rings,"Pancreatic cancer:9.21e-5 (unfavourable), Endometrial cancer:1.53e-4 (unfavourable), Lung cancer:4.25e-4 (unfavourable)",Expressed in all,Expressed in all,,,endometrium: 41.5,Mixed,,
STK31,"SgK396, TDRD8",ENSG00000196335,Serine/threonine kinase 31,7,23710167-23832513,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA023194,Enhanced,,,,,Mixed,Tissue enriched,197,testis: 112.9,lung: 0.5,Cell line enriched,7,CACO-2: 15.0
STK32A,"MGC22688, YANK1",ENSG00000169302,Serine/threonine kinase 32A,5,147234963-147387852,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040236,Uncertain,,Approved,Centrosome,,Tissue enhanced,Tissue enhanced,,adrenal gland: 15.6;thyroid gland: 16.1,cerebral cortex: 7.3,Group enriched,6,RT4: 12.4;SK-MEL-30: 43.0
STK32B,"HSA250839, STK32, STKG6, YANK2",ENSG00000152953,Serine/threonine kinase 32B,4,5051442-5500998,"Enzymes, Predicted intracellular proteins",Evidence at transcript level,HPA058536,,,Approved,Microtubules,Renal cancer:1.63e-8 (favourable),Mixed,Tissue enhanced,,kidney: 15.8,testis: 8.6,Cell line enhanced,,HUVEC TERT2: 22.9;REH: 22.7;U-2197: 40.5;WM-115: 110.5
STK32C,"MGC23665, PKE, YANK3",ENSG00000165752,Serine/threonine kinase 32C,10,132207492-132331847,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA017894,Uncertain,,,,"Liver cancer:1.68e-6 (unfavourable), Renal cancer:5.31e-6 (unfavourable), Endometrial cancer:1.09e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 52.6,Expressed in all,,
STK33,,ENSG00000130413,Serine/threonine kinase 33,11,8391868-8594289,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA015742, HPA056855",Uncertain,,Approved,Nucleus<br>Nucleoli<br>Cytosol,Renal cancer:4.89e-6 (favourable),Mixed,Tissue enhanced,,fallopian tube: 67.1;testis: 93.1,parathyroid gland: 43.4,Cell line enhanced,,SCLC-21H: 26.8
STK35,"bA550O8.2, CLIK1",ENSG00000125834,Serine/threonine kinase 35,20,2101611-2177038,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA026452, HPA051673",Uncertain,,Supported,Nucleus<br>Nuclear bodies,Liver cancer:9.46e-6 (unfavourable),Expressed in all,Expressed in all,,,testis: 25.2,Expressed in all,,
STK36,"FU, KIAA1278",ENSG00000163482,Serine/threonine kinase 36,2,218672026-218702716,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA027409, HPA027453, HPA030058",Approved,,Supported,Cytosol,Liver cancer:5.20e-4 (unfavourable),Expressed in all,Expressed in all,,,testis: 59.0,Expressed in all,,
STK38,NDR,ENSG00000112079,Serine/threonine kinase 38,6,36493892-36547470,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB004673, HPA038623, HPA051324",Uncertain,,Approved,Cytosol,Melanoma:9.44e-5 (unfavourable),Expressed in all,Expressed in all,,,rectum: 40.3,Expressed in all,,
STK38L,"KIAA0965, NDR2",ENSG00000211455,Serine/threonine kinase 38 like,12,27243968-27325959,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA038623, HPA051324",Approved,,Approved,Cytosol,Pancreatic cancer:5.82e-4 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 65.3,Expressed in all,,
STK39,"DCHT, SPAK",ENSG00000198648,Serine/threonine kinase 39,2,167954020-168248141,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB046022, HPA061803, HPA062802",Enhanced,,Supported,Nucleoplasm<br>Vesicles<br>Cytosol,"Liver cancer:5.67e-5 (unfavourable), Breast cancer:3.96e-4 (favourable)",Expressed in all,Mixed,,,testis: 71.4,Mixed,,
STK4,"KRS2, MST1, YSK3",ENSG00000101109,Serine/threonine kinase 4,20,44966474-45079959,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"CAB004038, HPA015270",Approved,,Enhanced,Nucleoplasm<br>Nuclear bodies<br>Cytosol,"Renal cancer:1.84e-5 (unfavourable), Liver cancer:8.04e-4 (unfavourable)",Expressed in all,Expressed in all,,,lymph node: 50.6,Expressed in all,,
STK40,"MGC4796, SgK495",ENSG00000196182,Serine/threonine kinase 40,1,36339624-36385896,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA008026,Uncertain,,Supported,Nucleoplasm<br>Cytosol,Pancreatic cancer:5.59e-4 (favourable),Expressed in all,Expressed in all,,,testis: 57.0,Expressed in all,,
STKLD1,"C9orf96, MGC43306, SGK071",ENSG00000198870,Serine/threonine kinase like domain containing 1,9,133376367-133406096,"Enzymes, Predicted membrane proteins",Evidence at transcript level,HPA029902,Uncertain,,,,,Mixed,Tissue enriched,14,testis: 5.7,"cerebral cortex,epididymis: 0.3",Not detected,,
STRADA,"LYK5, NY-BR-96, Stlk, STRAD",ENSG00000266173,STE20-related kinase adaptor alpha,17,63682336-63741986,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA031637,Approved,,Supported,Nucleoplasm<br>Cytosol,"Renal cancer:6.08e-7 (unfavourable), Pancreatic cancer:5.34e-5 (favourable), Urothelial cancer:6.43e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 67.7,Expressed in all,,
STRADB,"ALS2CR2, CALS-21, ILPIP, ILPIPA, PAPK",ENSG00000082146,STE20-related kinase adaptor beta,2,201387858-201480846,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA026549, HPA028520",Approved,,Supported,Aggresome<br>Cytosol,"Renal cancer:1.35e-4 (unfavourable), Thyroid cancer:4.45e-4 (favourable)",Expressed in all,Expressed in all,,,kidney: 73.4,Cell line enhanced,,LHCN-M2: 154.7
STS,"ARSC, ARSC1",ENSG00000101846,Steroid sulfatase,X,7219456-7354810,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA002904,Enhanced,,,,Pancreatic cancer:3.47e-4 (unfavourable),Expressed in all,Tissue enhanced,,placenta: 36.5,adipose tissue: 18.9,Cell line enhanced,,U-266/70: 79.0
STT3A,"ITM1, MGC9042, STT3-A, TMC",ENSG00000134910,"STT3A, catalytic subunit of the oligosaccharyltransferase complex",11,125591712-125625215,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA030735,Approved,,Uncertain,Nucleoplasm<br>Vesicles<br>Cytosol,"Endometrial cancer:1.32e-4 (favourable), Liver cancer:3.57e-4 (unfavourable), Renal cancer:4.96e-4 (unfavourable)",Expressed in all,Tissue enriched,7,parathyroid gland: 1131.8,epididymis: 173.0,Expressed in all,,
STT3B,"FLJ90106, SIMP, STT3-B",ENSG00000163527,"STT3B, catalytic subunit of the oligosaccharyltransferase complex",3,31532638-31637622,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"HPA036448, HPA036646",Approved,,Supported,Endoplasmic reticulum,Colorectal cancer:7.91e-5 (favourable),Expressed in all,Expressed in all,,,testis: 165.5,Expressed in all,,
STUB1,"CHIP, HSPABP2, NY-CO-7, SDCCAG7, UBOX1",ENSG00000103266,STIP1 homology and U-box containing protein 1,16,680224-682870,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB037202, CAB037209, HPA041222, HPA043531",Enhanced,,Supported,Nucleoplasm<br>Cytosol,Renal cancer:6.49e-9 (favourable),Expressed in all,Expressed in all,,,cerebral cortex: 137.7,Expressed in all,,
STYK1,"DKFZp761P1010, NOK, SuRTK106",ENSG00000060140,Serine/threonine/tyrosine kinase 1,12,10618939-10674318,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA040468, HPA048569",Uncertain,,Approved,Nucleus<br>Plasma membrane,,Mixed,Mixed,,,rectum: 17.4,Cell line enhanced,,CAPAN-2: 23.5;HUVEC TERT2: 20.0;TIME: 18.2
SUCLA2,,ENSG00000136143,Succinate-CoA ligase ADP-forming beta subunit,13,47936491-48001354,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA039435, HPA039536, HPA061528",Enhanced,Supported,Enhanced,Mitochondria,"Renal cancer:7.59e-14 (favourable), Urothelial cancer:1.22e-4 (unfavourable)",Expressed in all,Expressed in all,,,skeletal muscle: 78.7,Expressed in all,,
SUCLG1,,ENSG00000163541,Succinate-CoA ligase alpha subunit,2,84423523-84460045,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins",Evidence at protein level,"HPA036683, HPA036684",Enhanced,,Supported,Plasma membrane<br>Mitochondria,"Renal cancer:2.21e-8 (favourable), Endometrial cancer:5.23e-4 (unfavourable)",Expressed in all,Expressed in all,,,kidney: 471.2,Expressed in all,,
SUCLG2,,ENSG00000172340,Succinate-CoA ligase GDP-forming beta subunit,3,67360460-67654614,"Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA046705, HPA051998",Enhanced,,Supported,Plasma membrane<br>Mitochondria,"Renal cancer:2.79e-10 (favourable), Colorectal cancer:1.08e-4 (favourable)",Expressed in all,Expressed in all,,,colon: 168.2,Expressed in all,,
SUGCT,"C7orf10, DERP13, FLJ11808, ORF19",ENSG00000175600,Succinyl-CoA:glutarate-CoA transferase,7,40134977-40860763,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA026698, HPA026704, HPA026705",Enhanced,,,,"Renal cancer:3.93e-7 (favourable), Urothelial cancer:2.53e-4 (unfavourable)",Expressed in all,Tissue enhanced,,kidney: 45.0,liver: 14.6,Cell line enhanced,,HBEC3-KT: 30.6;LHCN-M2: 21.2
SULT1A1,"P-PST, STP, STP1",ENSG00000196502,Sulfotransferase family 1A member 1,16,28605196-28623625,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA049500, HPA051051",Supported,,,,Lung cancer:7.02e-4 (favourable),Expressed in all,Expressed in all,,,duodenum: 136.6,Cell line enhanced,,EFO-21: 161.0;Hep G2: 241.3
SULT1A2,"HAST4, STP2",ENSG00000197165,Sulfotransferase family 1A member 2,16,28591943-28597109,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA049500, HPA051051",Supported,,,,,Tissue enhanced,Tissue enhanced,,duodenum: 49.2;small intestine: 49.2,liver: 21.0,Cell line enhanced,,BEWO: 9.6;EFO-21: 12.0;Hep G2: 33.5
SULT1A3,"STM, TL-PST",ENSG00000261052,Sulfotransferase family 1A member 3,16,30199228-30204310,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA049500, HPA051051",Supported,,,,,Not detected,Expressed in all,,,duodenum: 106.1,Expressed in all,,
SULT1A4,,ENSG00000213648,Sulfotransferase family 1A member 4,16,29459889-29464976,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA049500, HPA051051",Supported,,,,,Not detected,Tissue enhanced,,duodenum: 173.4;small intestine: 131.0,colon: 38.4,Cell line enhanced,,CAPAN-2: 107.9;EFO-21: 93.9;HEL: 76.5;Hep G2: 188.0;Karpas-707: 114.2
SULT1C3,,ENSG00000196228,Sulfotransferase family 1C member 3,2,108247195-108265351,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,142,breast: 450.3,duodenum: 3.1,Not detected,,
SULT1E1,"EST, STE",ENSG00000109193,Sulfotransferase family 1E member 1,4,69810780-69860152,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA028213, HPA028728, CAB047344",Enhanced,,Uncertain,Nuclear membrane<br>Cytosol,Cervical cancer:4.06e-4 (favourable),Mixed,Group enriched,7,duodenum: 27.7;liver: 18.7;skin: 7.6;small intestine: 29.7,adrenal gland: 3.1,Group enriched,17,HHSteC: 59.4;HSkMC: 23.3;hTCEpi: 19.7;HUVEC TERT2: 16.9
SULT2A1,"DHEA-ST, STD",ENSG00000105398,Sulfotransferase family 2A member 1,19,47870466-47886397,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB018755, HPA041487, HPA063633",Enhanced,,Supported,Cytosol,,Tissue enriched,Tissue enhanced,,adrenal gland: 189.9;liver: 514.2,small intestine: 91.1,Group enriched,30,Hep G2: 25.8;RT4: 20.3
SULT2B1,HSST2,ENSG00000088002,Sulfotransferase family 2B member 1,19,48552075-48599425,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB033013, HPA041724, HPA043539",Approved,,Supported,Vesicles<br>Cytosol,,Mixed,Tissue enhanced,,esophagus: 152.2;skin: 152.4,"cervix, uterine: 45.8",Cell line enhanced,,CAPAN-2: 59.3;MCF7: 32.5;T-47d: 31.4
SULT6B1,,ENSG00000138068,Sulfotransferase family 6B member 1,2,37167820-37196598,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,11,fallopian tube: 1.0;testis: 4.3,bone marrow: 0.2,Cell line enriched,6,WM-115: 2.2
SUOX,,ENSG00000139531,Sulfite oxidase,12,55997180-56006641,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA038208, HPA038209",Approved,,,,"Renal cancer:4.77e-7 (favourable), Urothelial cancer:8.32e-5 (favourable), Pancreatic cancer:6.28e-4 (favourable)",Expressed in all,Expressed in all,,,parathyroid gland: 108.9,Mixed,,
SUPT16H,"CDC68, FACT, FACTP140, FLJ10857, FLJ14010, SPT16/CDC68",ENSG00000092201,"SPT16 homolog, facilitates chromatin remodeling subunit",14,21351472-21384266,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB022551, HPA049787",Enhanced,,Supported,Nucleus<br>Nucleoli fibrillar center,,Expressed in all,Expressed in all,,,parathyroid gland: 95.7,Expressed in all,,
SUPV3L1,SUV3,ENSG00000156502,Suv3 like RNA helicase,10,69180232-69209099,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA038380, HPA038405",Enhanced,,Supported,Mitochondria,,Expressed in all,Expressed in all,,,testis: 29.0,Expressed in all,,
SUV39H1,"KMT1A, SUV39H",ENSG00000101945,Suppressor of variegation 3-9 homolog 1,X,48695554-48709012,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,"Renal cancer:1.91e-7 (unfavourable), Cervical cancer:8.93e-5 (favourable)",Expressed in all,Mixed,,,epididymis: 14.4,Expressed in all,,
SUV39H2,"FLJ23414, KMT1B",ENSG00000152455,Suppressor of variegation 3-9 homolog 2,10,14878820-14904315,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA045901, HPA057554",Enhanced,,Approved,Mitochondria,"Liver cancer:2.01e-6 (unfavourable), Renal cancer:5.71e-5 (unfavourable), Breast cancer:5.55e-4 (unfavourable)",Expressed in all,Tissue enriched,12,testis: 73.2,placenta: 6.1,Expressed in all,,
SYK,,ENSG00000165025,Spleen associated tyrosine kinase,9,90801787-90898549,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA001384, CAB007773",Enhanced,,Approved,Vesicles<br>Plasma membrane<br>Cytosol,,Expressed in all,Mixed,,,parathyroid gland: 96.0,Cell line enhanced,,Daudi: 89.3;HEL: 64.8;HL-60: 80.0;REH: 76.3
SYNJ1,"INPP5G, PARK20",ENSG00000159082,Synaptojanin 1,21,32628759-32728048,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA011916,Enhanced,,Approved,Nucleoplasm<br>Centrosome<br>Cytosol,"Prostate cancer:2.58e-4 (unfavourable), Head and neck cancer:4.43e-4 (favourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 65.9,testis: 18.4,Expressed in all,,
SYNJ2,INPP5H,ENSG00000078269,Synaptojanin 2,6,157981887-158099176,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA031575,Approved,,Approved,Microtubules<br>Cytosol,"Renal cancer:4.02e-6 (unfavourable), Breast cancer:2.63e-4 (unfavourable)",Expressed in all,Expressed in all,,,cerebral cortex: 34.8,Mixed,,
SYVN1,"DER3, HRD1",ENSG00000162298,Synoviolin 1,11,65121780-65134533,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA005480, HPA024300, CAB037030",Enhanced,,Supported,Nucleoplasm<br>Endoplasmic reticulum<br>Plasma membrane,Head and neck cancer:6.88e-4 (favourable),Expressed in all,Expressed in all,,,tonsil: 73.8,Expressed in all,,
TAF1,"BA2R, CCG1, CCGS, DYT3, DYT3/TAF1, KAT4, NSCL2, TAF2A, TAFII250",ENSG00000147133,TATA-box binding protein associated factor 1,X,71366239-71532374,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA001075, CAB016283",Supported,,Enhanced,Nucleoplasm,"Renal cancer:6.03e-4 (unfavourable), Lung cancer:6.54e-4 (favourable)",Expressed in all,Expressed in all,,,parathyroid gland: 26.2,Expressed in all,,
TALDO1,,ENSG00000177156,Transaldolase 1,11,747329-765024,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA040373, HPA048089",,,Enhanced,Nucleoplasm<br>Cytosol,Liver cancer:2.29e-4 (unfavourable),Expressed in all,Expressed in all,,,esophagus: 262.9,Expressed in all,,
TAMM41,"C3orf31, DKFZp434E0519, MGC16471",ENSG00000144559,TAM41 mitochondrial translocator assembly and maintenance homolog,3,11790442-11846919,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA036834, HPA044861",Uncertain,,Approved,Cytosol,Colorectal cancer:1.23e-4 (favourable),Expressed in all,Mixed,,,epididymis: 11.8,Expressed in all,,
TAOK1,"FLJ14314, KIAA1361, MAP3K16, MARKK, PSK2, TAO1",ENSG00000160551,TAO kinase 1,17,29390464-29551904,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA007669,Approved,,Approved,Vesicles,,Expressed in all,Expressed in all,,,parathyroid gland: 41.5,Expressed in all,,
TAOK2,"KIAA0881, MAP3K17, PSK, PSK1, TAO1, TAO2",ENSG00000149930,TAO kinase 2,16,29973641-29992261,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA010650,Approved,,Supported,Nucleus<br>Nucleoli<br>Cytosol,"Endometrial cancer:3.87e-5 (favourable), Colorectal cancer:2.51e-4 (unfavourable), Renal cancer:3.66e-4 (favourable), Pancreatic cancer:4.78e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 36.9,Expressed in all,,
TAOK3,"DPK, JIK, MAP3K18",ENSG00000135090,TAO kinase 3,12,118149801-118372945,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA017160,Approved,,Uncertain,Mitochondria,,Expressed in all,Expressed in all,,,cerebral cortex: 48.8,Expressed in all,,
TARS,,ENSG00000113407,Threonyl-tRNA synthetase,5,33440696-33469539,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA037425,Approved,,Supported,Actin filaments<br>Cytosol,"Liver cancer:9.88e-7 (unfavourable), Breast cancer:6.14e-5 (unfavourable), Endometrial cancer:5.17e-4 (unfavourable), Renal cancer:9.63e-4 (unfavourable)",Expressed in all,Expressed in all,,,thyroid gland: 44.3,Expressed in all,,
TARS2,"FLJ12528, TARSL1",ENSG00000143374,"Threonyl-tRNA synthetase 2, mitochondrial (putative)",1,150487364-150507609,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA028626,Approved,,Approved,Nucleoplasm<br>Intermediate filaments<br>Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 29.2,Expressed in all,,
